Sensor,产品名,数字球机类型,xml,公共参数节点名,AWB自研CALI,Reserved
IMX323,IPC232S,IPC,default_pic_IPC232S_IMX323.xml,IPC232S_IMX323,NULL,NULL
IMX323,IPC332S,IPC,default_pic_IPC232S_IMX323.xml,IPC232S_IMX323,NULL,NULL
IMX323,IPC2122SR3,IPC,default_pic_IPC232S_IMX323.xml,IPC232S_IMX323,NULL,NULL
IMX323,IPC322SR3,IPC,default_pic_IPC232S_IMX323.xml,IPC232S_IMX323,NULL,NULL
,,,,,,
AR0237,IPC232S,IPC,default_pic_IPC232S_AR0237.xml,IPC232S_AR0237,NULL,NULL
AR0237,IPC332S,IPC,default_pic_IPC232S_AR0237.xml,IPC232S_AR0237,NULL,NULL
AR0237,IPC2122SR3,IPC,default_pic_IPC232S_AR0237.xml,IPC232S_AR0237,NULL,NULL
AR0237,IPC322SR3,IPC,default_pic_IPC232S_AR0237.xml,IPC232S_AR0237,NULL,NULL
,,,,,,
OV2718,IPC232S,IPC,default_pic_IPC242S_OV2718.xml,IPC242S_OV2718,NULL,NULL
OV2718,IPC332S,IPC,default_pic_IPC242S_OV2718.xml,IPC242S_OV2718,NULL,NULL
OV2718,IPC242S,IPC,default_pic_IPC242S_OV2718.xml,IPC242S_OV2718,NULL,NULL
OV2718,IPC2122SR3,IPC,default_pic_IPC242S_OV2718.xml,IPC242S_OV2718,NULL,NULL
OV2718,IPC322SR3,IPC,default_pic_IPC242S_OV2718.xml,IPC242S_OV2718,NULL,NULL
OV2718,IPC322ER3,IPC,default_pic_IPC242S_OV2718_WDR.xml,IPC242S_OV2718,NULL,NULL
OV2718,IPC2322EBR5-P-C,IPC,default_pic_IPC242S_OV2718.xml,IPC242S_OV2718,NULL,NULL
OV2718,IPC2322EBR5-DPZ28-C,IPC,default_pic_IPC242S_OV2718_WDR.xml,IPC242S_OV2718,NULL,NULL
OV2718,IPC3232ER-VS-C,IPC,default_pic_IPC242S_OV2718.xml,IPC242S_OV2718,NULL,NULL
OV2718,IPC3232ER-DV-C,IPC,default_pic_IPC242S_OV2718_WDR.xml,IPC242S_OV2718,NULL,NULL
OV2718,IPC3232ER3-DVZ28-C,IPC,default_pic_IPC242S_OV2718_WDR.xml,IPC242S_OV2718,NULL,NULL
OV2718,IPC3632ER3-DPZ28-C,IPC,default_pic_IPC242S_OV2718_WDR.xml,IPC242S_OV2718,NULL,NULL
,,,,,,
JXF22,IPC322LR3,IPC,default_pic_IPC232S_JXF22.xml,IPC232S_JXF22,NULL,NULL
JXF22,IPC2122LR3,IPC,default_pic_IPC232S_JXF22.xml,IPC232S_JXF22,NULL,NULL
JXF22,IPC3612LR3,IPC,default_pic_IPC232S_JXF22.xml,IPC232S_JXF22,NULL,NULL
JXF22,IPC232L,IPC,default_pic_IPC232S_JXF22.xml,IPC232S_JXF22,NULL,NULL
JXF22,IPC332L,IPC,default_pic_IPC232S_JXF22.xml,IPC232S_JXF22,NULL,NULL
,,,,,,
IMX290,IPC2222ER5,IPC,default_pic_IPC2222ER5_IMX290_WDR.xml,IPC2222ER5_IMX290,NULL,NULL
,,,,,,
NotFound,UNIPC-C,IPC,default_pic_IPC232S_IMX323.xml,IPC232S_IMX323,NULL,NULL
